三界,The Three Realms
天界,The Heavens
人界,The Mortal Realm 
地,The Earth
黄泉,the Yellow Springs
冥界,the Netherworld
六道轮回,Six Paths of Reincarnation
功德/业,Karma
道,Dao
阴阳,Yin & Yang
五行,Five Elements / Wood (木 mù) / Fire (火 huǒ) / Earth (土 tǔ) / Metal (金 jīn) / Water (水 shuǐ)
气,Qi
神,Gods
仙,Immortals
圣,Saints
妖,Demons/Monsters
魔,Devils/Fiends
鬼,Ghosts
魔兽,Magical Beasts
妖兽,Demonic Beasts 
灵兽,Spirit Beasts
妖核,Demonic Core
江湖,Jianghu
侠,Xia
游侠,Wandering Xia
修真界,Cultivation World
修者/修士/修仙者,Cultivator
散修,Rogue Cultivators
宗,Sect
掌门,Sect Leader
老祖,Patriarch
长老,Sect Elders
核心弟子,Core Disciples
内门弟子,Inner Disciples
外围弟子,Outer Disciples
教,Religious Sect/Cult
门,School
家,Clan （如王家,the Wang Clan）
帮,Association/Gang/Brotherhood/Clan
会,Society
镖局,Escort Agency 
修炼/修真/修仙,Cultivation
功法,Cultivation Method
修为,Cultivation Base 
秘笈,Manual
经,Sutras & Scriptures
灵根,Spiritual Root 
丹田,Dantian/Elixir Field/Cinnabar Field
经脉,Meridians
奇经八脉,Eight Extraordinary Meridians
任},the Conception Vessel
督},the Governing Vessel
正经十二脉,Twelve Principal Meridians
穴道,Acupoints 
行气,Qi Circulation 
吐纳,Breathing Exercises 
冥想,Meditation
盘膝,Lotus Position 
闭关,Closed Door Training
参悟,Insight 
心魔,Internal Demons
走火入魔,Qi Deviation
瓶颈,Bottleneck
杂质,Impurities
轻功,Lightness Skill 
层/级,Ranks / Levels / Layers 
初期,Early-stage
中期,Middle-stage 
后期,Late-stage
巅峰,Peak
半步__境,A half step to __ 
后天 & 先天,Houtian & Xiantian
凝气,Qi Condensation （凝气中期,the Middle Stage of Qi Condensation）
炼气,Qi Refining
聚气,Qi Gathering
筑基,Foundation Establishment/Foundation Building
结丹,Core Formation
金丹,Gold Core/Golden Elixir
元婴,Nascent Soul
成仙,Immortal Ascension
丹道,Alchemy 
鼎/丹炉,Cauldrons / Pill Furnaces
丹药,Medicinal Pills / Elixirs
药草,Medicinal Plants / Herbs
参,Ginseng 
灵芝,Lingzhi Mushrooms
灵草,Spiritual Plants / Herbs 
法宝,Magic Treasures / Magical Items
法器,Magic Tools
灵器,Spirit Tools
飞剑,Flying Sword 
灵石,Spirit Stones
空间戒指,Interspatial Ring 
储物法宝,Interspatial Ring
符,Talisman
玉简,Jade Slip
拂尘,Duster / Fly Whisk / Horsetail Whisk
丝带,Ribbon
梭,Loom Shuttle
如意,Ruyi Scepter
印,Seal
锥,Awl
判官笔,Judge’s Brush
天劫,Heavenly Tribulation
八卦,Eight Trigrams 
阵法,Formations 
阵旗,Formation Flags
禁制,Restrictions 
灵识,Spiritual Sense 
神识,Divine Sense
袍,Robes
道袍,Scholar / Daoist robes
面子,Face
叩头,Kowtow 
抱拳,Clasping Hands
阁/亭,Pavilion
仙子,Fairy 
掐诀,Hand-seals
剑光,Sword-light
炼,Refining
煞气,Killing Intent
剑意,Sword Intent
师公 / 师爷,Grandmaster
师父 / 师傅,Master （eg. 王师傅 Master Wang）
师伯 / 师叔,Martial Uncle
师姑,Martial Aunt
师侄,Martial Nephew / Martial Niece
师兄 / 师哥,Senior Brother ( eg. 唐师兄 Senior Brother Tang)
师弟,Junior Brother
师姐,Senior Sister
师妹,Junior Sister